,0
979,1224
980,1192
981,1067
982,1284
983,1115
984,762
985,1128
986,1113
987,1094
988,1169
989,965
990,1179
991,1074
992,939
993,1116
994,1033
995,1220
996,951
997,914
998,1040
999,1087
1000,1055
1001,1080
1002,910
1003,1157
1004,1020
1005,1167
1006,916
1007,1162
1008,1230
1009,969
1010,1195
1011,918
1012,799
1013,1367
1014,1217
1015,1047
1016,883
1017,931
1018,1150
1019,1176
1020,1144
1021,1097
1022,1117
1023,1188
1024,1012
1025,1137
1026,1009
1027,825
1028,989
1029,912
1030,987
1031,1061
1032,997
1033,934
1034,893
1035,1070
1036,1050
1037,992
1038,901
1039,844
1040,1108
1041,948
1042,1101
1043,1067
1044,1187
1045,1106
1046,1012
1047,1229
1048,1040
1049,1121
1050,1223
1051,1159
1052,1124
1053,1152
1054,1071
1055,1117
1056,1233
1057,1071
1058,1079
1059,831
1060,968
1061,888
1062,902
1063,759
1064,1053
1065,1196
1066,878
1067,1189
1068,1328
1069,1341
1070,908
1071,1058
1072,1066
1073,968
1074,974
1075,991
1076,845
1077,779
1078,1217
1079,1129
1080,855
1081,1119
1082,1048
1083,1101
1084,1101
1085,1083
1086,1370
1087,1208
1088,1095
1089,1065
1090,1099
1091,1117
1092,1075
1093,1368
1094,794
1095,1322
1096,1151
1097,832
1098,1355
1099,1066
1100,954
1101,1048
1102,1215
1103,1056
1104,956
1105,665
1106,1230
1107,932
1108,1040
1109,1128
1110,1168
1111,1116
1112,1169
1113,980
1114,1070
1115,1075
1116,1022
1117,1290
1118,1035
1119,997
1120,1067
1121,993
1122,899
1123,1144
1124,944
1125,1158
1126,1035
1127,1286
1128,1367
1129,1225
1130,1141
1131,973
1132,1205
1133,1408
1134,1305
1135,1099
1136,851
1137,1177
1138,1480
1139,1213
1140,1369
1141,1059
1142,1272
1143,1060
1144,989
1145,1072
1146,1138
1147,1019
1148,1136
1149,946
1150,848
1151,1059
1152,1047
1153,954
1154,914
1155,1078
1156,991
1157,905
1158,949
1159,1501
1160,908
1161,815
1162,1033
1163,958
1164,914
1165,1190
1166,1237
1167,638
1168,902
1169,1040
1170,1014
1171,1015
1172,1237
1173,1516
1174,1225
1175,986
1176,1153
1177,1055
1178,1002
1179,868
1180,586
1181,1110
1182,1063
1183,1151
1184,956
1185,925
1186,954
1187,1128
1188,1302
1189,800
1190,1164
1191,989
1192,886
1193,733
1194,1185
1195,983
1196,1097
1197,1071
1198,1142
1199,986
1200,1105
1201,891
1202,1054
1203,1000
1204,1142
1205,958
1206,1003
1207,857
1208,719
1209,903
1210,699
1211,707
1212,1145
1213,977
1214,1200
1215,1233
1216,1180
1217,972
1218,972
1219,1159
1220,868
1221,1127
1222,1115
1223,1100
1224,1009
1225,937
1226,972
1227,1043
1228,959
1229,1134
1230,1159
1231,1015
1232,1303
1233,1199
1234,855
1235,1008
1236,1281
1237,737
1238,1009
1239,815
1240,1156
1241,1305
1242,1060
1243,949
1244,1225
1245,1024
1246,1040
1247,1018
1248,1077
1249,1007
1250,1073
1251,1109
1252,1014
1253,911
1254,1239
1255,992
1256,938
1257,981
1258,1030
1259,1117
1260,904
1261,957
1262,858
1263,1081
1264,1173
1265,1084
1266,1150
1267,973
1268,909
1269,1203
1270,994
1271,1239
1272,1158
1273,976
1274,966
1275,1002
1276,1183
1277,1259
1278,1297
1279,1036
1280,824
1281,965
1282,1013
1283,974
1284,889
1285,765
1286,1200
1287,1150
1288,1071
1289,1208
1290,755
1291,1045
1292,1106
1293,1184
1294,1000
1295,924
1296,11
1297,980
1298,1122
1299,1160
1300,920
1301,1185
1302,1189
1303,994
1304,1154
1305,938
1306,1067
1307,1272
1308,1005
1309,1033
1310,1405
1311,1252
1312,1087
1313,1019
1314,1127
1315,922
1316,1277
1317,1109
1318,1081
1319,936
1320,1219
1321,991
1322,1201
1323,1073
1324,1157
1325,1410
1326,1095
1327,944
1328,1022
1329,939
1330,773
1331,817
1332,1180
1333,828
1334,1179
1335,904
1336,996
1337,1205
1338,942
1339,969
1340,1322
1341,1003
1342,1014
1343,910
1344,1107
1345,1078
1346,1168
1347,1237
1348,1152
1349,1082
1350,980
1351,928
1352,841
1353,1105
1354,1068
1355,920
1356,1241
1357,626
1358,1221
1359,1040
1360,1169
1361,853
1362,1111
1363,1112
1364,1105
1365,848
1366,1025
1367,814
1368,747
1369,1096
1370,906
1371,1312
1372,1411
1373,799
1374,1098
1375,1035
1376,1127
1377,849
1378,1097
1379,853
1380,1226
1381,1041
1382,898
1383,875
1384,975
1385,761
1386,848
1387,984
1388,904
1389,1136
1390,827
1391,793
1392,1054
1393,929
1394,1164
1395,1083
1396,1063
1397,1291
1398,1040
1399,1286
1400,952
1401,1007
1402,871
1403,731
1404,1075
1405,858
1406,998
1407,1155
1408,963
1409,909
1410,1210
1411,918
1412,1242
1413,1178
1414,1325
1415,1026
1416,1080
1417,870
1418,1070
1419,920
1420,1075
1421,1069
1422,1061
1423,962
1424,1092
1425,1182
1426,832
1427,1042
1428,996
1429,1106
1430,1161
1431,975
1432,1203
1433,1047
1434,1059
1435,958
1436,1009
1437,741
1438,1101
1439,988
1440,1039
1441,1011
1442,1106
1443,1062
1444,1059
1445,1004
1446,783
1447,1034
1448,931
1449,1363
1450,871
1451,1064
1452,945
1453,1189
1454,915
1455,1295
1456,1202
1457,829
1458,1189
1459,1004
1460,1080
1461,985
1462,1396
1463,960
1464,855
1465,1129
1466,1045
1467,1045
1468,1192
1469,1182
1470,1112
1471,1060
1472,1206
1473,1289
1474,1322
1475,1165
1476,1116
1477,1035
1478,1044
1479,991
1480,1161
1481,875
1482,1275
1483,1014
1484,1065
1485,1278
1486,1350
1487,983
1488,1079
1489,980
1490,1108
1491,1133
1492,1035
1493,1013
1494,1169
1495,926
1496,1014
1497,1375
1498,1226
1499,1276
1500,929
1501,1292
1502,1112
1503,877
1504,1133
1505,1028
1506,1348
1507,1003
1508,873
1509,1162
1510,1021
1511,912
1512,898
1513,1239
1514,-782
1515,1222
1516,1044
1517,1271
1518,938
1519,1064
1520,1313
1521,894
1522,1079
1523,1054
1524,1050
1525,1133
1526,1148
1527,989
1528,1020
1529,1143
1530,1411
1531,748
1532,835
1533,973
1534,1042
1535,1065
1536,1083
1537,1240
1538,1049
1539,903
1540,933
1541,1147
1542,695
1543,1220
1544,941
1545,884
1546,1054
1547,1120
1548,1168
1549,990
1550,1108
1551,1237
1552,943
1553,1322
1554,1354
1555,1007
1556,890
1557,985
1558,1078
1559,1001
1560,996
1561,1173
1562,1027
1563,1392
1564,1019
1565,905
1566,954
1567,1057
1568,1036
1569,901
1570,945
1571,846
1572,1159
1573,969
1574,906
1575,1078
1576,986
1577,891
1578,981
1579,1441
1580,1092
1581,998
1582,811
1583,1259
1584,1177
1585,1082
1586,1401
1587,1036
1588,985
1589,1192
1590,791
1591,1204
1592,1080
1593,1095
1594,1068
1595,1139
1596,1217
1597,1148
1598,1268
1599,1144
1600,959
1601,1131
1602,970
1603,1075
1604,1103
1605,1101
1606,941
1607,1034
1608,953
1609,1444
1610,603
1611,1258
1612,1005
1613,1081
1614,853
1615,1281
1616,1210
1617,1195
1618,1142
1619,1154
1620,942
1621,1191
1622,1067
1623,1158
1624,720
1625,1467
1626,1189
1627,995
1628,966
1629,1125
1630,892
1631,1277
1632,1254
1633,769
1634,1129
1635,1224
1636,1015
1637,982
1638,1272
1639,1267
1640,1183
1641,1088
1642,841
1643,1051
1644,1120
1645,1225
1646,1391
1647,1128
1648,1200
1649,1002
1650,977
1651,1042
1652,562
1653,1131
1654,1216
1655,1148
1656,1092
1657,987
1658,1198
1659,1177
1660,1254
1661,1201
