,0
1068,1011
1069,1181
1070,959
1071,917
1072,820
1073,1075
1074,906
1075,971
1076,977
1077,2
1078,966
1079,1129
1080,825
1081,688
1082,982
1083,872
1084,712
1085,1185
1086,963
1087,1221
1088,799
1089,897
1090,1018
1091,1008
1092,1140
1093,1037
1094,1025
1095,952
1096,750
1097,829
1098,1100
1099,806
1100,1116
1101,185
1102,975
1103,1035
1104,854
1105,1202
1106,723
1107,782
1108,298
1109,870
1110,924
1111,802
1112,811
1113,1056
1114,655
1115,1040
1116,870
1117,883
1118,909
1119,1137
1120,1002
1121,1081
1122,957
1123,869
1124,937
1125,1002
1126,910
1127,674
1128,316
1129,1178
1130,992
1131,1201
1132,871
1133,923
1134,709
1135,678
1136,993
1137,678
1138,816
1139,620
1140,799
1141,578
1142,853
1143,614
1144,799
1145,813
1146,884
1147,1132
1148,993
1149,730
1150,992
1151,675
1152,651
1153,1078
1154,958
1155,872
1156,-592
1157,1026
1158,1214
1159,868
1160,971
1161,716
1162,668
1163,829
1164,1060
1165,868
1166,952
1167,989
1168,976
1169,654
1170,694
1171,861
1172,158
1173,929
1174,979
1175,465
1176,879
1177,516
1178,991
1179,709
1180,807
1181,649
1182,874
1183,874
1184,955
1185,1185
1186,1081
1187,970
1188,1127
1189,1232
1190,762
1191,874
1192,1262
1193,1007
1194,1315
1195,1009
1196,673
1197,1060
1198,902
1199,1181
1200,784
1201,1192
1202,877
1203,985
1204,783
1205,902
1206,967
1207,872
1208,1184
1209,930
1210,1244
1211,861
1212,1002
1213,796
1214,836
1215,1293
1216,1028
1217,1109
1218,814
1219,223
1220,479
1221,857
1222,832
1223,637
1224,637
1225,954
1226,943
1227,844
1228,1013
1229,892
1230,1009
1231,956
1232,1177
1233,802
1234,1069
1235,1069
1236,1127
1237,921
1238,709
1239,808
1240,963
1241,938
1242,996
1243,835
1244,898
1245,768
1246,1024
1247,1076
1248,695
1249,1035
1250,1094
1251,933
1252,994
1253,512
1254,749
1255,875
1256,898
1257,1257
1258,884
1259,748
1260,894
1261,1269
1262,769
1263,1127
1264,988
1265,1042
1266,1075
1267,1071
1268,444
1269,785
1270,821
1271,917
1272,782
1273,742
1274,765
1275,775
1276,1011
1277,806
1278,1245
1279,1166
1280,1121
1281,202
1282,1154
1283,939
1284,571
1285,1251
1286,841
1287,1196
1288,1013
1289,993
1290,122
1291,853
1292,958
1293,971
1294,550
1295,752
1296,1058
1297,497
1298,1061
1299,1002
1300,1008
1301,630
1302,977
1303,1062
1304,696
1305,543
1306,993
1307,738
1308,1008
1309,1009
1310,652
1311,1022
1312,792
1313,1049
1314,805
1315,1070
1316,944
1317,794
1318,739
1319,581
1320,887
1321,691
1322,1082
1323,748
1324,1307
1325,869
1326,807
1327,657
1328,786
1329,380
1330,1193
1331,1258
1332,956
1333,1032
1334,1044
1335,1003
1336,1071
1337,1002
1338,1133
1339,797
1340,736
1341,1398
1342,1037
1343,918
1344,1034
1345,1042
1346,873
1347,772
1348,381
1349,963
1350,914
1351,969
1352,1225
1353,1075
1354,857
1355,780
1356,1144
1357,1103
1358,963
1359,991
1360,948
1361,790
1362,1205
1363,1218
1364,1041
1365,737
1366,828
1367,1114
1368,984
1369,1097
1370,932
1371,955
1372,970
1373,865
1374,1072
1375,731
1376,727
1377,1139
1378,681
1379,889
1380,1102
1381,1108
1382,877
1383,38
1384,1134
1385,1213
1386,1036
1387,820
1388,804
1389,976
1390,922
1391,870
1392,843
1393,1020
1394,876
1395,1031
1396,993
1397,1157
1398,776
1399,644
1400,863
1401,795
1402,904
1403,919
1404,621
1405,588
1406,748
1407,918
1408,572
1409,741
1410,940
1411,818
1412,983
1413,985
1414,905
1415,898
1416,945
1417,1007
1418,1011
1419,875
1420,936
1421,1182
1422,815
1423,905
1424,975
1425,682
1426,835
1427,911
1428,977
1429,963
1430,444
1431,1060
1432,802
1433,871
1434,1050
1435,887
1436,722
1437,839
1438,974
1439,969
1440,831
1441,723
1442,915
1443,1057
1444,892
1445,828
1446,844
1447,790
1448,929
1449,1161
1450,674
1451,1098
1452,1086
1453,846
1454,630
1455,895
1456,1072
1457,1150
1458,961
1459,838
1460,894
1461,1059
1462,898
1463,1040
1464,1142
1465,979
1466,981
1467,987
1468,557
1469,874
1470,1261
1471,771
1472,905
1473,956
1474,1113
1475,811
1476,906
1477,1019
1478,875
1479,853
1480,915
1481,880
1482,1104
1483,1161
1484,433
1485,866
1486,874
1487,1026
1488,920
1489,764
1490,614
1491,1164
1492,756
1493,1165
1494,841
1495,883
1496,896
1497,844
1498,927
1499,781
1500,1280
1501,991
1502,989
1503,760
1504,985
1505,772
1506,580
1507,902
1508,860
1509,801
1510,870
1511,674
1512,742
1513,836
1514,553
1515,695
1516,636
1517,792
1518,1019
1519,928
1520,628
1521,683
1522,807
1523,813
1524,854
1525,891
1526,1204
1527,944
1528,945
1529,905
1530,932
1531,749
1532,816
1533,1011
1534,772
1535,749
1536,953
1537,1086
1538,863
1539,643
1540,766
1541,882
1542,934
1543,1180
1544,820
1545,826
1546,1056
1547,659
1548,559
1549,1047
1550,218
1551,829
1552,1001
1553,305
1554,780
1555,963
1556,860
1557,463
1558,682
1559,1091
1560,839
1561,768
1562,680
1563,1192
1564,689
1565,565
1566,1018
1567,656
1568,578
1569,942
1570,914
1571,975
1572,1024
1573,953
1574,493
1575,1224
1576,1074
1577,832
1578,1035
1579,751
1580,929
1581,893
1582,907
1583,1030
1584,987
1585,611
1586,811
1587,877
1588,814
1589,953
1590,840
1591,995
1592,1016
1593,950
1594,487
1595,594
1596,603
1597,897
1598,933
1599,636
1600,948
1601,1074
1602,861
1603,650
1604,1171
1605,1099
1606,937
1607,867
1608,738
1609,586
1610,753
1611,920
1612,1016
1613,1001
1614,638
1615,1016
1616,995
1617,294
1618,803
1619,685
1620,710
1621,950
1622,1056
1623,853
1624,727
1625,930
1626,914
1627,1065
1628,917
1629,757
1630,527
1631,1116
1632,908
1633,1086
1634,860
1635,866
1636,882
1637,844
1638,1248
1639,951
1640,999
1641,984
1642,694
1643,326
1644,1028
1645,732
1646,971
1647,1147
1648,703
1649,1086
1650,792
1651,788
1652,698
1653,1131
1654,902
1655,955
1656,943
1657,887
1658,1179
1659,680
1660,720
1661,1137
1662,836
1663,1147
1664,774
1665,1068
1666,802
1667,653
1668,990
1669,1060
1670,667
1671,1008
1672,1041
1673,974
1674,791
1675,1134
1676,982
1677,1024
1678,939
1679,778
1680,907
1681,861
1682,1177
1683,799
1684,784
1685,750
1686,756
1687,883
1688,755
1689,825
1690,716
1691,743
1692,558
1693,797
1694,955
1695,979
1696,1037
1697,713
1698,540
1699,882
1700,803
1701,1141
1702,865
1703,752
1704,761
1705,965
1706,758
1707,805
1708,1018
1709,1261
1710,1174
1711,1125
1712,873
1713,1047
1714,1133
1715,1014
1716,822
1717,1314
1718,1006
1719,1026
1720,888
1721,833
1722,1044
1723,957
1724,1203
1725,988
1726,877
1727,825
1728,721
1729,838
1730,1104
1731,1033
1732,985
1733,1006
1734,1041
1735,1101
1736,819
1737,934
1738,674
1739,927
1740,907
1741,1048
1742,954
1743,1039
1744,579
1745,1140
1746,886
1747,1159
1748,1050
1749,892
1750,893
1751,959
1752,1438
1753,1038
1754,1321
1755,644
1756,925
1757,850
1758,780
1759,1024
1760,895
1761,1128
1762,960
1763,861
1764,1266
1765,858
1766,744
1767,913
1768,985
1769,1216
1770,694
1771,779
1772,1106
1773,1019
1774,1013
1775,866
1776,598
1777,931
1778,1062
1779,738
1780,854
1781,503
1782,908
1783,1237
1784,941
1785,829
1786,965
1787,789
1788,1066
1789,781
1790,712
1791,932
1792,998
1793,893
1794,648
1795,1138
1796,976
1797,979
1798,941
1799,977
1800,942
1801,1086
1802,1018
1803,964
1804,995
1805,840
1806,984
1807,615
1808,1232
1809,1130
1810,1128
1811,830
1812,855
1813,895
1814,279
1815,908
1816,1002
1817,1145
1818,1218
1819,1176
1820,1074
1821,947
1822,838
1823,1018
1824,881
1825,899
1826,916
1827,936
1828,940
1829,1087
1830,484
1831,687
1832,804
1833,1079
1834,-25
1835,981
1836,974
1837,881
1838,970
1839,1040
1840,893
1841,1055
1842,907
1843,654
1844,1108
1845,802
1846,914
1847,927
1848,968
1849,1162
1850,875
1851,945
1852,940
1853,864
1854,296
1855,1077
1856,961
1857,895
1858,580
1859,1143
1860,860
1861,797
1862,554
1863,1074
1864,739
1865,672
1866,643
1867,1034
1868,838
1869,930
1870,1415
1871,1187
1872,936
1873,1152
1874,942
1875,1013
1876,890
1877,1069
1878,720
1879,563
1880,821
1881,808
1882,708
1883,833
1884,839
1885,1054
1886,1018
1887,717
1888,715
1889,1033
1890,927
1891,215
1892,904
1893,949
1894,1015
1895,936
1896,1431
1897,857
1898,1034
1899,890
1900,1173
1901,652
1902,832
1903,921
1904,851
1905,1014
1906,888
1907,925
1908,921
1909,665
1910,851
1911,1102
1912,645
1913,556
1914,1294
1915,747
1916,550
1917,1281
1918,952
1919,736
1920,576
1921,1222
1922,1050
1923,840
1924,1009
1925,1017
1926,1120
1927,936
1928,920
1929,932
1930,616
1931,1071
1932,974
1933,1192
1934,1055
1935,531
1936,742
1937,901
1938,1062
1939,782
1940,823
1941,922
1942,1031
1943,822
1944,973
1945,1145
1946,1020
1947,934
1948,1048
1949,623
1950,878
1951,957
1952,841
1953,335
1954,152
1955,1259
1956,495
1957,745
1958,979
1959,1005
1960,690
1961,1015
1962,882
1963,1152
1964,826
1965,743
1966,1099
1967,561
1968,1005
1969,1276
1970,913
1971,1053
1972,849
1973,1031
1974,907
1975,727
1976,740
1977,728
1978,754
1979,673
1980,1043
1981,799
1982,923
1983,872
1984,1070
1985,1307
1986,923
1987,1144
1988,815
1989,967
1990,1250
1991,925
1992,1078
1993,874
1994,827
1995,1077
1996,1078
1997,1027
1998,970
1999,843
2000,890
2001,808
2002,746
2003,1038
2004,1224
2005,1491
2006,1013
2007,589
2008,846
2009,767
2010,1088
2011,766
2012,1197
2013,1220
2014,1129
2015,717
2016,1187
2017,1119
2018,711
2019,834
2020,716
2021,991
2022,995
2023,1148
2024,977
2025,891
2026,1210
2027,849
2028,845
2029,869
2030,875
2031,881
2032,980
2033,872
2034,891
2035,876
2036,1005
2037,928
2038,960
2039,992
2040,879
2041,1084
2042,321
2043,957
2044,1148
2045,1041
2046,929
2047,681
2048,740
2049,1042
2050,1133
2051,693
2052,794
2053,1058
2054,870
2055,794
2056,728
2057,937
2058,1211
2059,546
2060,1088
2061,988
2062,796
2063,1110
2064,1055
2065,667
2066,1034
2067,695
2068,1076
2069,1016
2070,423
2071,825
2072,940
2073,825
2074,949
2075,575
2076,1118
2077,1254
2078,872
2079,1074
2080,1032
2081,943
2082,935
2083,715
2084,742
2085,1087
2086,908
2087,352
2088,860
2089,789
2090,833
2091,868
2092,928
2093,582
2094,635
2095,1016
2096,1052
2097,836
2098,910
2099,772
2100,804
2101,881
2102,658
2103,802
2104,750
2105,1193
2106,637
2107,1088
2108,1069
2109,702
2110,1000
2111,1046
2112,1009
2113,782
2114,140
2115,653
2116,1278
2117,544
2118,835
2119,1052
2120,1234
2121,1288
2122,733
2123,710
2124,1222
2125,938
2126,1297
2127,1027
2128,1040
2129,1322
2130,1014
2131,969
2132,1001
2133,793
2134,1161
2135,827
2136,1089
2137,928
2138,977
2139,695
2140,949
2141,852
2142,1120
2143,1251
2144,1054
2145,818
2146,895
2147,1095
2148,982
2149,1135
2150,716
2151,1354
2152,1075
2153,891
2154,936
2155,830
2156,946
2157,1285
2158,789
2159,989
2160,994
2161,963
2162,803
2163,777
2164,599
2165,787
2166,1072
2167,653
2168,1224
2169,770
2170,1073
2171,760
2172,1221
2173,770
2174,626
2175,703
2176,706
2177,1080
2178,585
2179,1038
2180,885
2181,739
2182,809
2183,954
2184,792
2185,916
2186,1264
2187,840
2188,635
2189,851
2190,1164
2191,609
2192,854
2193,987
2194,958
2195,1193
2196,686
2197,871
2198,920
2199,1065
2200,1086
2201,761
2202,1113
2203,831
2204,1028
2205,1438
2206,918
2207,1110
