rate_dt,tenor,rate,value_dt
2010-06-24,24,1.3506400787941533,2012-06-23
2010-06-24,36,2.207401841008701,2013-06-24
2010-06-24,48,2.9786829304729165,2014-06-24
2010-06-24,60,3.59561549423823,2015-06-24
2010-06-24,84,4.345736691611904,2017-06-24
2010-06-24,120,4.608015585663546,2020-06-23
2010-06-24,180,4.21741698920863,2025-06-24
2010-06-24,360,3.527051022209933,2040-06-23
2010-06-25,0,0.2937832487190421,2010-06-28
2010-06-25,3,0.2937832487190421,2010-09-23
2010-06-25,6,0.3655726240547607,2010-12-23
2010-06-25,9,0.4778350162070373,2011-03-25
2010-06-25,12,0.621922560177596,2011-06-25
2010-06-25,15,0.790411177548414,2011-09-23
2010-06-25,18,0.9769536288031712,2011-12-23
2010-06-25,24,1.383425022903776,2012-06-24
2010-06-25,36,2.225481694407096,2013-06-25
2010-06-25,48,2.985752835148008,2014-06-25
2010-06-25,60,3.5985761428180547,2015-06-25
2010-06-25,84,4.355357955288233,2017-06-25
2010-06-25,120,4.632045404602876,2020-06-24
2010-06-25,180,4.223807572310961,2025-06-25
2010-06-25,360,3.4319710561626824,2040-06-24
2010-06-28,0,0.3144269004778652,2010-06-29
2010-06-28,3,0.3144269004778652,2010-09-26
2010-06-28,6,0.3764685769544367,2010-12-26
2010-06-28,9,0.4813100987633874,2011-03-28
2010-06-28,12,0.6198388719527159,2011-06-28
2010-06-28,15,0.784240947203021,2011-09-26
2010-06-28,18,0.9678435992809402,2011-12-26
2010-06-28,24,1.3708419560360157,2012-06-27
2010-06-28,36,2.210627699917747,2013-06-28
2010-06-28,48,2.9695405747088794,2014-06-28
2010-06-28,60,3.5793420651407555,2015-06-28
2010-06-28,84,4.324543465908308,2017-06-28
2010-06-28,120,4.579680649409324,2020-06-27
2010-06-28,180,4.149647375911173,2025-06-28
2010-06-28,360,3.3559551342289664,2040-06-27
2010-06-29,0,0.2976704956930385,2010-06-30
2010-06-29,3,0.2976704956930385,2010-09-27
2010-06-29,6,0.3501949012932446,2010-12-27
2010-06-29,9,0.4473506387308978,2011-03-29
2010-06-29,12,0.5797552914936146,2011-06-29
2010-06-29,15,0.739360066500419,2011-09-27
2010-06-29,18,0.91928814163331,2011-12-27
2010-06-29,24,1.3176208476177558,2012-06-28
2010-06-29,36,2.155189559509733,2013-06-29
2010-06-29,48,2.9167352976866363,2014-06-29
2010-06-29,60,3.5307845497976422,2015-06-29
2010-06-29,84,4.283776929890899,2017-06-29
2010-06-29,120,4.544076925064507,2020-06-28
2010-06-29,180,4.111541783605765,2025-06-29
2010-06-29,360,3.306504767685293,2040-06-28
2010-06-30,0,0.3445139745119356,2010-07-01
2010-06-30,3,0.3445139745119356,2010-09-28
2010-06-30,6,0.3934956735181918,2010-12-28
2010-06-30,9,0.4876634658589489,2011-03-30
2010-06-30,12,0.6174968026699927,2011-06-30
2010-06-30,15,0.7748349144200075,2011-09-28
2010-06-30,18,0.9527111272716308,2011-12-28
2010-06-30,24,1.347315296368719,2012-06-29
2010-06-30,36,2.1777835005340744,2013-06-30
2010-06-30,48,2.931778093319593,2014-06-30
2010-06-30,60,3.537756465450644,2015-06-30
2010-06-30,84,4.274748908442389,2017-06-30
2010-06-30,120,4.5168914515447725,2020-06-29
2010-06-30,180,4.073590289811185,2025-06-30
2010-06-30,360,3.277328620411274,2040-06-29
2010-07-01,0,0.3947022182888274,2010-07-02
2010-07-01,3,0.3947022182888274,2010-09-29
2010-07-01,6,0.4403269852882014,2010-12-29
2010-07-01,9,0.5296193004342262,2011-03-31
2010-07-01,12,0.653534081006407,2011-07-01
2010-07-01,15,0.8042981641285558,2011-09-29
2010-07-01,18,0.9752577154845774,2011-12-29
2010-07-01,24,1.3559448401692236,2012-06-30
2010-07-01,36,2.162299099284012,2013-07-01
2010-07-01,48,2.9004483409872543,2014-07-01
2010-07-01,60,3.499011314399576,2015-07-01
2010-07-01,84,4.239094573922745,2017-07-01
2010-07-01,120,4.502464282542247,2020-06-30
2010-07-01,180,4.082312666127565,2025-07-01
2010-07-01,360,3.2802672530054706,2040-06-30
2010-07-02,0,0.3873570170366837,2010-07-05
2010-07-02,3,0.3873570170366837,2010-09-30
2010-07-02,6,0.4390338593398277,2010-12-30
2010-07-02,9,0.5317280943829525,2011-04-01
2010-07-02,12,0.6570064448702038,2011-07-02
2010-07-02,15,0.8076045025688248,2011-09-30
2010-07-02,18,0.9772887673327628,2011-12-30
2010-07-02,24,1.3534116832751877,2012-07-01
2010-07-02,36,2.1486740366413404,2013-07-02
2010-07-02,48,2.879184384827252,2014-07-02
2010-07-02,60,3.4758242769565317,2015-07-02
2010-07-02,84,4.226094256126451,2017-07-02
2010-07-02,120,4.517540977344724,2020-07-01
2010-07-02,180,4.127215814109233,2025-07-02
2010-07-02,360,3.3225960019859517,2040-07-01
2010-07-05,0,0.3799712671669909,2010-07-06
2010-07-05,3,0.3799712671669909,2010-10-03
2010-07-05,6,0.4176503694875357,2011-01-02
2010-07-05,9,0.4988522427533655,2011-04-04
2010-07-05,12,0.6147918885669017,2011-07-05
2010-07-05,15,0.7578969955435078,2011-10-03
2010-07-05,18,0.9216648640148172,2012-01-02
2010-07-05,24,1.2897746339834657,2012-07-04
2010-07-05,36,2.079417310643013,2013-07-05
2010-07-05,48,2.8118236601720046,2014-07-05
2010-07-05,60,3.413301887796591,2015-07-05
2010-07-05,84,4.173747759735553,2017-07-05
2010-07-05,120,4.473112349730996,2020-07-04
2010-07-05,180,4.080979170868294,2025-07-05
2010-07-05,360,3.2617084052826573,2040-07-04
2010-07-06,0,0.3935903507798896,2010-07-07
2010-07-06,3,0.3935903507798896,2010-10-04
2010-07-06,6,0.4439201054966504,2011-01-03
2010-07-06,9,0.534670452529509,2011-04-05
2010-07-06,12,0.6576066719963172,2011-07-06
2010-07-06,15,0.8056257870239136,2011-10-04
2010-07-06,18,0.9726240929204586,2012-01-03
2010-07-06,24,1.343443081767676,2012-07-05
2010-07-06,36,2.130009509184207,2013-07-06
2010-07-06,48,2.8556248518123275,2014-07-06
2010-07-06,60,3.451065941327611,2015-07-06
2010-07-06,84,4.206329299917915,2017-07-06
2010-07-06,120,4.51051260490244,2020-07-05
2010-07-06,180,4.130827786866943,2025-07-06
2010-07-06,360,3.316580164284649,2040-07-05
2010-07-07,0,0.3988068057938471,2010-07-08
2010-07-07,3,0.3988068057938471,2010-10-05
2010-07-07,6,0.4344662410784261,2011-01-04
2010-07-07,9,0.514935613217147,2011-04-06
2010-07-07,12,0.6311331193223828,2011-07-07
2010-07-07,15,0.7752386512634959,2011-10-05
2010-07-07,18,0.9405438693520648,2012-01-04
2010-07-07,24,1.3126921959944915,2012-07-06
2010-07-07,36,2.111233775896231,2013-07-07
2010-07-07,48,2.8505395837298764,2014-07-07
2010-07-07,60,3.4556755331770583,2015-07-07
2010-07-07,84,4.21493779263767,2017-07-07
2010-07-07,120,4.5022830872553365,2020-07-06
