Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?node=9689726,,,,,,,,,,,,,,
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_15Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_1Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_1Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_1Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_2Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_30Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_3Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_4Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_5Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_7Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_9M
25/03/2019,0.780536,1.009795,-0.597906,-0.590175,-0.575963,-0.529329,1.066565,-0.583188,-0.377694,-0.179854,0.030941,-0.593987,0.410235,-0.5991
22/03/2019,0.758832,0.991971,-0.595562,-0.589904,-0.577983,-0.536126,1.050034,-0.577729,-0.392998,-0.200923,0.00681,-0.588821,0.38527,-0.595056
21/03/2019,0.884903,1.124771,-0.571811,-0.562908,-0.547786,-0.499323,1.182427,-0.565815,-0.341482,-0.133498,0.089591,-0.57235,0.492487,-0.574742
20/03/2019,0.948572,1.185432,-0.554904,-0.543287,-0.525806,-0.473158,1.240037,-0.561685,-0.307373,-0.09144,0.138905,-0.562851,0.551842,-0.561114
19/03/2019,0.973022,1.203187,-0.554767,-0.541143,-0.521443,-0.464089,1.255073,-0.564979,-0.289502,-0.067138,0.166905,-0.565589,0.581026,-0.562651
18/03/2019,0.951854,1.185519,-0.563563,-0.553694,-0.53737,-0.485594,1.238076,-0.560662,-0.317836,-0.097877,0.136462,-0.565879,0.554371,-0.567341
15/03/2019,0.954812,1.190036,-0.566287,-0.55631,-0.540275,-0.489634,1.242297,-0.568806,-0.323981,-0.104396,0.131103,-0.571016,0.553003,-0.570805
14/03/2019,0.956429,1.190142,-0.573505,-0.56381,-0.547713,-0.496262,1.241775,-0.571861,-0.327845,-0.105581,0.131813,-0.576163,0.555207,-0.577284
13/03/2019,0.943152,1.181344,-0.575611,-0.568161,-0.554398,-0.507456,1.234055,-0.569599,-0.345926,-0.127078,0.109678,-0.574721,0.536044,-0.577389
12/03/2019,0.943152,1.181344,-0.575611,-0.568161,-0.554398,-0.507456,1.234055,-0.569599,-0.345926,-0.127078,0.109678,-0.574721,0.536044,-0.577389
