period,fixed_period,interest
2015-04-01,1>5 years,2.54
2015-04-01,5>10 years,2.95
2015-04-01,<= 1 year,2.36
2015-04-01,>10 years,3.45
2015-05-01,1>5 years,2.57
2015-05-01,5>10 years,2.77
2015-05-01,<= 1 year,2.38
2015-05-01,>10 years,3.35
2015-06-01,1>5 years,2.53
2015-06-01,5>10 years,2.79
2015-06-01,<= 1 year,2.34
2015-06-01,>10 years,3.33
2015-07-01,1>5 years,2.52
2015-07-01,5>10 years,2.77
2015-07-01,<= 1 year,2.27
2015-07-01,>10 years,3.21
2015-08-01,1>5 years,2.52
2015-08-01,5>10 years,2.8
2015-08-01,<= 1 year,2.28
2015-08-01,>10 years,3.23
2015-09-01,1>5 years,2.54
2015-09-01,5>10 years,2.78
2015-09-01,<= 1 year,2.27
2015-09-01,>10 years,3.25
2015-10-01,1>5 years,2.48
2015-10-01,5>10 years,2.73
2015-10-01,<= 1 year,2.18
2015-10-01,>10 years,3.31
2015-11-01,1>5 years,2.5
2015-11-01,5>10 years,2.73
2015-11-01,<= 1 year,2.24
2015-11-01,>10 years,3.31
2015-12-01,1>5 years,2.48
2015-12-01,5>10 years,2.64
2015-12-01,<= 1 year,2.22
2015-12-01,>10 years,3.22
2016-01-01,1>5 years,2.46
2016-01-01,5>10 years,2.69
2016-01-01,<= 1 year,2.21
2016-01-01,>10 years,3.28
2016-02-01,1>5 years,2.39
2016-02-01,5>10 years,2.67
2016-02-01,<= 1 year,2.1
2016-02-01,>10 years,3.19
2016-03-01,1>5 years,2.3
2016-03-01,5>10 years,2.6
2016-03-01,<= 1 year,2.07
2016-03-01,>10 years,3.15
2016-04-01,1>5 years,2.28
2016-04-01,5>10 years,2.61
2016-04-01,<= 1 year,2.03
2016-04-01,>10 years,3.1
2016-05-01,1>5 years,2.23
2016-05-01,5>10 years,2.56
2016-05-01,<= 1 year,2.03
2016-05-01,>10 years,3.13
2016-06-01,1>5 years,2.19
2016-06-01,5>10 years,2.51
2016-06-01,<= 1 year,2.0
2016-06-01,>10 years,3.09
2016-07-01,1>5 years,2.09
2016-07-01,5>10 years,2.55
2016-07-01,<= 1 year,1.91
2016-07-01,>10 years,3.2
2016-08-01,1>5 years,2.02
2016-08-01,5>10 years,2.47
2016-08-01,<= 1 year,1.95
2016-08-01,>10 years,3.13
2016-09-01,1>5 years,2.04
2016-09-01,5>10 years,2.4
2016-09-01,<= 1 year,1.86
2016-09-01,>10 years,3.05
2016-10-01,1>5 years,1.95
2016-10-01,5>10 years,2.31
2016-10-01,<= 1 year,1.79
2016-10-01,>10 years,2.98
2016-11-01,1>5 years,2.06
2016-11-01,5>10 years,2.27
2016-11-01,<= 1 year,1.8
2016-11-01,>10 years,3.0
2016-12-01,1>5 years,2.0
2016-12-01,5>10 years,2.25
2016-12-01,<= 1 year,1.81
2016-12-01,>10 years,2.95
2017-01-01,1>5 years,2.02
2017-01-01,5>10 years,2.21
2017-01-01,<= 1 year,1.79
2017-01-01,>10 years,2.85
2017-02-01,1>5 years,2.07
2017-02-01,5>10 years,2.28
2017-02-01,<= 1 year,1.78
2017-02-01,>10 years,2.91
2017-03-01,1>5 years,2.1
2017-03-01,5>10 years,2.3
2017-03-01,<= 1 year,1.78
2017-03-01,>10 years,2.92
2017-04-01,1>5 years,2.09
2017-04-01,5>10 years,2.34
2017-04-01,<= 1 year,1.78
